"id_unico","nombre","nombre_municipio","distancia_m_linea_electrica","ccaa","provincia"
17900,"El Payo","El Payo","17700.33909407","Castilla y León","Salamanca"
17905,"Cristóbal","Cristóbal","11082.09722207","Castilla y León","Salamanca"
3511,"Castilfalé","Castilfalé","121.30754936","Castilla y León","León"
3604,"Canalejas","Almanza","11082.16329509","Castilla y León","León"
3634,"Villafrea de la Reina","Boca de Huérgano","13004.55918996","Castilla y León","León"
3644,"Boca de Huérgano","Boca de Huérgano","11892.48116281","Castilla y León","León"
3653,"Valverde-Enrique","Valverde-Enrique","181.71213182","Castilla y León","León"
18945,"Bercimuel","Bercimuel","8349.0357056","Castilla y León","Segovia"
3699,"Mozos de Cea","Villazanzo de Valderaduey","585.1238782","Castilla y León","León"
3724,"Tejedo de Ancares","Valle de Ancares","13740.62059459","Castilla y León","León"
3734,"Manzaneda","Truchas","18146.82432599","Castilla y León","León"
3799,"Candemuela","San Emiliano","672.03197146","Castilla y León","León"
3803,"Guímara","Peranzanes","14256.07276239","Castilla y León","León"
3846,"Vila-Rubla","Montferrer i Castellbò","5858.28430607","Cataluña-Catalunya","Lleida"
3900,"Villargusán","San Emiliano","1430.67051206","Castilla y León","León"
3910,"Cunas","Truchas","13935.20576518","Castilla y León","León"
3943,"Santa María","Vilardevós","9133.4218344","Galicia","Ourense"
3968,"La Veguellina","Valverde-Enrique","2065.2159118","Castilla y León","León"
4039,"Castellàs","Les Valls d'Aguilar","7528.7254066","Cataluña-Catalunya","Lleida"
4041,"Mercurín","Folgoso do Courel","8858.41600275","Galicia","Lugo"
4044,"Gomelle","Guntín","2905.20485482","Galicia","Lugo"
4082,"Cornellana","La Vansa i Fórnols","2123.18996335","Cataluña-Catalunya","Lleida"
4083,"Sant Pere","La Vansa i Fórnols","1034.25931803","Cataluña-Catalunya","Lleida"
19935,"Osonilla","Tardelcuende","6409.05887226","Castilla y León","Soria"
4125,"Baén","Baix Pallars","3075.22114873","Cataluña-Catalunya","Lleida"
4136,"Solans","Montferrer i Castellbò","5789.43889088","Cataluña-Catalunya","Lleida"
20921,"Nogueruelas","Nogueruelas","11372.2146007","Aragón","Teruel"
4249,"Vilar","Cervantes","10169.45203735","Galicia","Lugo"
4313,"Sant Serni","Torà","3896.6962837","Cataluña-Catalunya","Lleida"
4452,"Taús","Les Valls d'Aguilar","11195.87247653","Cataluña-Catalunya","Lleida"
4475,"Fórnols","La Vansa i Fórnols","1070.40783592","Cataluña-Catalunya","Lleida"
4497,"Fontdepou","Àger","7622.40720381","Cataluña-Catalunya","Lleida"
4512,"Josa de Cadí","Josa i Tuixén","2874.70586513","Cataluña-Catalunya","Lleida"
4565,"Bóixols","Abella de la Conca","9098.8506716","Cataluña-Catalunya","Lleida"
4673,"Su","Riner","4669.05288399","Cataluña-Catalunya","Lleida"
4996,"Pacios Da Serra","Quiroga","12351.6725901","Galicia","Lugo"
5055,"O Soldón","Quiroga","14194.54807132","Galicia","Lugo"
5105,"A Degrada","Cervantes","7032.64046975","Galicia","Lugo"
5131,"Visuña","Folgoso do Courel","7533.56210952","Galicia","Lugo"
5137,"Parada","Folgoso do Courel","9175.48970726","Galicia","Lugo"
5151,"San Miguel","Cervantes","0","Galicia","Lugo"
5176,"Sarriés/Sartze","Sarriés/Sartze","8355.52923854","Comunidad Foral de Navarra","Navarra"
5243,"Mostaz","Folgoso do Courel","6344.03155018","Galicia","Lugo"
5322,"Vilaspasantes","Cervantes","506.30124384","Galicia","Lugo"
5352,"Barxamaior","Pedrafita do Cebreiro","2133.79249157","Galicia","Lugo"
5388,"Riocereixa","Pedrafita do Cebreiro","3098.68705271","Galicia","Lugo"
5452,"San Pedro","Pedrafita do Cebreiro","3974.15453397","Galicia","Lugo"
5462,"Val","Baralla","1347.61962355","Galicia","Lugo"
5497,"Romeor","Folgoso do Courel","5672.31121568","Galicia","Lugo"
5513,"Lousada","Pedrafita do Cebreiro","4095.92398024","Galicia","Lugo"
5519,"Veiga de Forcas","Pedrafita do Cebreiro","644.62199567","Galicia","Lugo"
5554,"Piñeira","Folgoso do Courel","6515.496905","Galicia","Lugo"
5601,"Vilariño","Calvos de Randín","10466.45643979","Galicia","Ourense"
5608,"Meiraos","Folgoso do Courel","6565.34719195","Galicia","Lugo"
5617,"Moreda","Folgoso do Courel","7979.46993709","Galicia","Lugo"
5637,"Pacios","Pedrafita do Cebreiro","2330.15484543","Galicia","Lugo"
5670,"Celeiró","Pedrafita do Cebreiro","47.9911433","Galicia","Lugo"
5705,"Xoaine","Guntín","2603.65492182","Galicia","Lugo"
5728,"Outeiro","Quiroga","11001.14645451","Galicia","Lugo"
5738,"Castelo Grande","Guntín","2584.00530877","Galicia","Lugo"
5746,"Foxos","Pedrafita do Cebreiro","2927.91439219","Galicia","Lugo"
5800,"A Veiga de Logares","A Fonsagrada","12290.14429256","Galicia","Lugo"
5804,"Sobredo","Folgoso do Courel","11958.99047473","Galicia","Lugo"
5824,"A Seara","Quiroga","11725.57393708","Galicia","Lugo"
5851,"Rao","Navia de Suarna","19376.1291689","Galicia","Lugo"
5862,"Camporredondo","Baralla","843.21271475","Galicia","Lugo"
5951,"Zolle","Guntín","2562.43461074","Galicia","Lugo"
5966,"Vilarello","Cervantes","11030.23593397","Galicia","Lugo"
5980,"Cela","Cervantes","5167.71835008","Galicia","Lugo"
6005,"Hospital","Pedrafita do Cebreiro","74.11714433","Galicia","Lugo"
6042,"Vilasibil","Folgoso do Courel","6300.30508167","Galicia","Lugo"
6082,"Santalla","Pedrafita do Cebreiro","2660.34661896","Galicia","Lugo"
6120,"La Risca","Moratalla","16119.33051176","Región de Murcia","Murcia"
6191,"Costa Da Zapateira","Cospeito","6623.40499184","Galicia","Lugo"
6201,"Seceda","Folgoso do Courel","12265.13548327","Galicia","Lugo"
6228,"Ferreiros de Arriba","Folgoso do Courel","11580.00155521","Galicia","Lugo"
6230,"San Mamede","Guntín","4267.06774074","Galicia","Lugo"
6235,"Vilela","Folgoso do Courel","4334.74381252","Galicia","Lugo"
6253,"Vilarello Da Irexa","Cervantes","748.97326289","Galicia","Lugo"
6284,"Louteiro","A Fonsagrada","11917.36250047","Galicia","Lugo"
6350,"Penela","Guntín","2427.58480849","Galicia","Lugo"
6355,"Seixo","Pedrafita do Cebreiro","1940.38766115","Galicia","Lugo"
6362,"Robledo","Cervantes","10008.61306766","Galicia","Lugo"
6402,"A Eirexe","Guntín","2840.21594533","Galicia","Lugo"
6428,"Piornedo","Cervantes","13298.07744167","Galicia","Lugo"
6454,"Murias de Rao","Navia de Suarna","17625.25249396","Galicia","Lugo"
6483,"Ferreira","Guntín","51.94890387","Galicia","Lugo"
6572,"La Hiruela","La Hiruela","9570.24578072","Comunidad de Madrid","Madrid"
6731,"Los Grifos","Rascafría","12102.50697094","Comunidad de Madrid","Madrid"
6763,"Rascafría","Rascafría","10389.87083007","Comunidad de Madrid","Madrid"
6840,"Oteruelo del Valle","Rascafría","13028.46236233","Comunidad de Madrid","Madrid"
7030,"Alfarnate","Alfarnate","13401.67259232","Andalucía","Málaga"
7031,"Alfarnatejo","Alfarnatejo","14501.16855337","Andalucía","Málaga"
7060,"Benalauría","Benalauría","105.12078978","Andalucía","Málaga"
7062,"Benadalid","Benadalid","438.87360793","Andalucía","Málaga"
7063,"Jimera de Líbar","Jimera de Líbar","3468.51250926","Andalucía","Málaga"
7084,"Alpandeire","Alpandeire","2373.5760814","Andalucía","Málaga"
7099,"Barriada de la Estación","Jimera de Líbar","4221.65034406","Andalucía","Málaga"
7155,"Igualeja","Igualeja","358.91526862","Andalucía","Málaga"
7169,"Júzcar","Júzcar","3268.0683288","Andalucía","Málaga"
