"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Ambite","Madrid","Comunidad de Madrid","12.685337726523901","0"
"Garriguella","Girona","Cataluña-Catalunya","13.418903150525100","0"
"Calcena","Zaragoza","Aragón","-3.846153846153850","0"
"Antigüedad","Palencia","Castilla y León","-10.052910052910098","0"
"Morelábor","Granada","Andalucía","-14.598540145985398","0"
"Santa Fe del Penedès","Barcelona","Cataluña-Catalunya","-4.485488126649080","0"
"Torrijas","Teruel","Aragón","-20.000000000000000","0"
"el Campello","Alacant-Alicante","Comunitat Valenciana","10.752926405967299","0"
"Bienvenida","Badajoz","Extremadura","-9.893522626441879","0"
"La Pobla de Cérvoles","Lleida","Cataluña-Catalunya","-8.636363636363640","0"
"Utande","Guadalajara","Castilla-La Mancha","-13.157894736842101","0"
"Alarcón","Cuenca","Castilla-La Mancha","15.436241610738300","0"
"San Cristóbal de Entreviñas","Zamora","Castilla y León","-9.859154929577461","0"
"Jirueque","Guadalajara","Castilla-La Mancha","-19.672131147541002","0"
"Trescasas","Segovia","Castilla y León","11.301715438950600","0"
"Rábanos","Burgos","Castilla y León","-10.752688172042999","0"
"Villa de Otura","Granada","Andalucía","8.643771827706640","0"
"Garciaz","Cáceres","Extremadura","-14.232209737827700","0"
"San Vitero","Zamora","Castilla y León","-22.664359861591702","0"
"Calp","Alacant-Alicante","Comunitat Valenciana","15.229308731113798","0"
"Valbuena de Duero","Valladolid","Castilla y León","-16.597510373443999","0"
"El Pla del Penedès","Barcelona","Cataluña-Catalunya","7.686017988552740","0"
"Busot","Alacant-Alicante","Comunitat Valenciana","12.619502868068800","0"
"Pedrosa del Páramo","Burgos","Castilla y León","-14.285714285714301","0"
"Capella","Huesca","Aragón","-0.277008310249307","0"
"Laukiz","Bizkaia","País Vasco-Euskadi","8.503100088573959","0"
"Higuera de Albalat","Cáceres","Extremadura","-4.545454545454549","0"
"Abánades","Guadalajara","Castilla-La Mancha","1.639344262295080","0"
"Valseca","Segovia","Castilla y León","-16.176470588235297","0"
"Hérmedes de Cerrato","Palencia","Castilla y León","-14.942528735632202","0"
"Segura de los Baños","Teruel","Aragón","7.692307692307691","0"
"Esparragosa de Lares","Badajoz","Extremadura","-11.347517730496499","0"
"Montenegro de Cameros","Soria","Castilla y León","-27.777777777777800","0"
"La Portellada","Teruel","Aragón","3.418803418803420","0"
"Pavías","Castelló-Castellón","Comunitat Valenciana","37.037037037037003","0"
"Urda","Toledo","Castilla-La Mancha","-14.691780821917801","0"
"Ayna","Albacete","Castilla-La Mancha","-16.411682892906800","0"
"Las Gabias","Granada","Andalucía","17.894030159057998","0"
"Moriscos","Salamanca","Castilla y León","69.846153846153811","0"
"Tinieblas de la Sierra","Burgos","Castilla y León","-33.333333333333300","0"
"Otívar","Granada","Andalucía","-6.678700361010829","0"
"El Pont de Vilomara i Rocafort","Barcelona","Cataluña-Catalunya","8.492063492063492","0"
"la Llosa de Ranes","València-Valencia","Comunitat Valenciana","1.966759002770080","0"
"Balsareny","Barcelona","Cataluña-Catalunya","-1.076877056536050","0"
"Perales del Alfambra","Teruel","Aragón","4.347826086956520","0"
"Berge","Teruel","Aragón","-8.502024291497982","0"
"Buenache de la Sierra","Cuenca","Castilla-La Mancha","10.679611650485400","0"
"Pruna","Sevilla","Andalucía","-7.226277372262770","0"
"Artenara","Las Palmas","Canarias","-12.542372881355901","0"
"El Real de San Vicente","Toledo","Castilla-La Mancha","-3.560830860534130","0"
"La Hiniesta","Zamora","Castilla y León","-6.422018348623849","0"
"Vilanova de Segrià","Lleida","Cataluña-Catalunya","12.365591397849499","0"
"Alcubilla de Nogales","Zamora","Castilla y León","-21.897810218978098","0"
"Vilanova de l'Aguda","Lleida","Cataluña-Catalunya","-14.035087719298202","0"
"Bellmunt del Priorat","Tarragona","Cataluña-Catalunya","-7.491856677524430","0"
"Valdemanco","Madrid","Comunidad de Madrid","9.670781893004111","0"
"la Font de la Figuera","València-Valencia","Comunitat Valenciana","-6.491712707182320","0"
"Arenas del Rey","Granada","Andalucía","-67.746994249869289","0"
"Ainzón","Zaragoza","Aragón","-9.208261617900170","0"
"Urriés","Zaragoza","Aragón","28.947368421052602","0"
"Chueca","Toledo","Castilla-La Mancha","-6.273062730627309","0"
"Fresno de la Fuente","Segovia","Castilla y León","-14.444444444444400","0"
"Ventosa del Río Almar","Salamanca","Castilla y León","-14.754098360655700","0"
"Lumbreras de Cameros","La Rioja","La Rioja","-11.042944785276099","0"
"Beire","Navarra","Comunidad Foral de Navarra","-0.660066006600660","0"
"Foios","València-Valencia","Comunitat Valenciana","7.710741471666200","0"
"Cabra de Mora","Teruel","Aragón","1.428571428571430","0"
"Serrato","Málaga","Andalucía","0.000000000000000","0"
"Almadrones","Guadalajara","Castilla-La Mancha","-23.611111111111100","0"
"Peñalba de Ávila","Ávila","Castilla y León","-10.434782608695700","0"
"O Grove","Pontevedra","Galicia","-0.211962031149203","0"
"Bigastro","Alacant-Alicante","Comunitat Valenciana","8.858325939071280","0"
"Codo","Zaragoza","Aragón","4.411764705882350","0"
"A Bola","Ourense","Galicia","-20.814814814814802","0"
"Monforte de Moyuela","Teruel","Aragón","31.746031746031701","0"
"Puebla de San Medel","Salamanca","Castilla y León","-23.255813953488403","0"
"Taravilla","Guadalajara","Castilla-La Mancha","7.692307692307691","0"
"Neila","Burgos","Castilla y León","-29.142857142857100","0"
"Boada","Salamanca","Castilla y León","-9.000000000000000","0"
"Vidreres","Girona","Cataluña-Catalunya","8.270579070371330","0"
"Perosillo","Segovia","Castilla y León","0.000000000000000","0"
"Cabolafuente","Zaragoza","Aragón","17.948717948717896","0"
"Cádiar","Granada","Andalucía","-0.388349514563107","0"
"Moncofa","Castelló-Castellón","Comunitat Valenciana","22.211705316295898","0"
"Puebla de Pedraza","Segovia","Castilla y León","-12.068965517241400","0"
"El Maderal","Zamora","Castilla y León","-18.604651162790702","0"
"Fuentes de Rubielos","Teruel","Aragón","39.669421487603302","0"
"Sorzano","La Rioja","La Rioja","-10.887096774193500","0"
"Vidayanes","Zamora","Castilla y León","-11.827956989247300","0"
"Arjonilla","Jaén","Andalucía","-5.977683315621680","0"
"Alpedrete","Madrid","Comunidad de Madrid","9.332381292395571","0"
"Artieda","Zaragoza","Aragón","-6.976744186046510","0"
"Villanueva de las Torres","Granada","Andalucía","-22.156573116691298","0"
"Comares","Málaga","Andalucía","-6.689895470383280","0"
"Gabiria","Gipuzkoa","País Vasco-Euskadi","1.810865191146880","0"
"Berberana","Burgos","Castilla y León","-34.210526315789501","0"
"Peñalba","Huesca","Aragón","5.065123010130249","0"
"Portilla","Cuenca","Castilla-La Mancha","-24.324324324324301","0"
"Azofra","La Rioja","La Rioja","0.938967136150235","0"
"Gurb","Barcelona","Cataluña-Catalunya","5.972495088408641","0"
"Negredo","Guadalajara","Castilla-La Mancha","-43.478260869565197","0"
"Olmillos de Muñó","Burgos","Castilla y León","-7.894736842105260","0"
"Santo Tomé del Puerto","Segovia","Castilla y León","-13.588850174215999","0"
"La Revilla y Ahedo","Burgos","Castilla y León","-19.491525423728799","0"
"Villanueva de la Vera","Cáceres","Extremadura","-3.155452436194901","0"
"Huétor Vega","Granada","Andalucía","2.659574468085110","0"
"La Sotonera","Huesca","Aragón","-9.674234945705821","0"
"la Pobla del Duc","València-Valencia","Comunitat Valenciana","-2.868525896414340","0"
"Marganell","Barcelona","Cataluña-Catalunya","-1.346801346801350","0"
"Senés","Almería","Andalucía","-10.000000000000000","0"
"Taroda","Soria","Castilla y León","-20.370370370370402","0"
"Cueva de Ágreda","Soria","Castilla y León","-13.414634146341500","0"
"Pinarejos","Segovia","Castilla y León","2.890173410404620","0"
